DB_id,Drug_name,Approved,DB_interactions
DB00001,Lepirudin,approved,
DB00002,Cetuximab,approved,
DB00004,Denileukin diftitox,approved,
DB00005,Etanercept,approved,DB01281;DB00026;DB08879;DB06168;DB08904;DB00531;DB06643;DB00065;DB01097;DB00108;DB00337;DB06372;DB01656;DB06688;DB00864;DB06273;DB08895;DB00072;DB09033
DB00006,Bivalirudin,approved,DB00054;DB01418;DB00945;DB00009;DB00029;DB06605;DB06695;DB06779;DB01254;DB01609;DB00304;DB00266;DB00378;DB01225;DB01109;DB04865;DB09053;DB00065;DB08935;DB00498;DB00946;DB00396;DB00015;DB06228;DB00086;DB06206;DB06271;DB00031;DB00932;DB00374;DB00013;DB09030;DB00682
DB00007,Leuprolide,approved,DB00284;DB09043;DB00346;DB06203;DB00915;DB01118;DB00321;DB00543;DB00261;DB00714;DB01238;DB01169;DB06697;DB06216;DB01072;DB00289;DB00207;DB08903;DB00188;DB06616;DB01200;DB06719;DB08907;DB09063;DB00608;DB00477;DB00672;DB00537;DB00604;DB00215;DB01211;DB01242;DB00363;DB08865;DB08912;DB06292;DB01254;DB06699;DB01189;DB01151;DB01075;DB00280;DB00204;DB00757;DB01184;DB01142;DB04855;DB00450;DB09039;DB09038;DB08871;DB00199;DB01175;DB01276;DB04953;DB00927;DB00949;DB08868;DB01195;DB00196;DB00472;DB00875;DB00588;DB00983;DB00529;DB01320;DB00743;DB00674;DB01155;DB01120;DB00222;DB01067;DB01251;DB01016;DB00014;DB00889;DB00502;DB06788;DB00557;DB00710;DB00308;DB04946;DB00458;DB05039;DB00808;DB01306;DB09564;DB01307;DB00047;DB01309;DB00046;DB00753;DB00270;DB01167;DB09083;DB01026;DB01259;DB01137;DB08882;DB06655;DB01356;DB00934;DB00358;DB00331;DB00333;DB01403;DB01233;DB00916;DB00834;DB00491;DB08893;DB00370;DB00691;DB00218;DB00731;DB00220;DB00622;DB04868;DB01059;DB00540;DB00104;DB01165;DB00334;DB09080;DB00904;DB00107;DB01267;DB06603;DB00715;DB06663;DB06589;DB01100;DB01132;DB01263;DB01278;DB01087;DB01035;DB00420;DB01069;DB01182;DB00818;DB00344;DB01224;DB00908;DB00468;DB00243;DB00912;DB08864;DB00734;DB00503;DB00412;DB01001;DB00938;DB01232;DB06335;DB01104;DB01236;DB01261;DB01591;DB00398;DB00489;DB01015;DB00263;DB01268;DB00864;DB00675;DB06402;DB00976;DB00871;DB04844;DB00679;DB01623;DB00697;DB00839;DB01124;DB01036;DB00539;DB00656;DB00374;DB00440;DB00726;DB06825;DB05294;DB00862;DB08881;DB00285;DB04876;DB00582;DB02546;DB00246;DB01624
DB00008,Peginterferon alfa-2a,approved,DB00041;DB01223;DB00363;DB00333;DB09208;DB00811;DB01265;DB00277;DB00697;DB00495
DB00009,Alteplase,approved,DB00054;DB01418;DB00945;DB00233;DB00261;DB06605;DB06692;DB00278;DB00006;DB00201;DB06441;DB01166;DB00215;DB00758;DB06695;DB06779;DB06700;DB00586;DB00266;DB00861;DB01551;DB00975;DB00476;DB01225;DB01240;DB00063;DB01175;DB00749;DB00573;DB08976;DB00472;DB00712;DB00176;DB01109;DB01050;DB01088;DB00328;DB01009;DB00465;DB00784;DB00814;DB04896;DB00461;DB08813;DB00788;DB00727;DB00991;DB00715;DB00498;DB00946;DB00554;DB06209;DB06228;DB01399;DB01104;DB00605;DB06271;DB01600;DB08816;DB00208;DB06822;DB00775;DB00500;DB00374;DB00285;DB06684;DB09030;DB09068;DB00682
DB00010,Sermorelin,approved,
DB00011,Interferon alfa-n1,approved,
DB00012,Darbepoetin alfa,approved,DB00480;DB01041
DB00013,Urokinase,approved,DB00054;DB01418;DB00945;DB00233;DB00261;DB06605;DB06692;DB00278;DB00006;DB00201;DB06441;DB01166;DB00215;DB00758;DB06695;DB06779;DB06700;DB00586;DB00861;DB01551;DB00975;DB00476;DB01225;DB01240;DB00063;DB01175;DB00749;DB00573;DB08976;DB00472;DB00712;DB00176;DB01109;DB01050;DB01088;DB00328;DB01009;DB00465;DB00784;DB00814;DB04896;DB00461;DB08813;DB00788;DB00991;DB00715;DB00554;DB06209;DB06228;DB01399;DB01104;DB00605;DB01600;DB08816;DB00208;DB06822;DB00775;DB00500;DB00374;DB00285;DB06684;DB09030;DB09068;DB00682
DB00014,Goserelin,approved,DB00346;DB06203;DB00915;DB01118;DB00321;DB00543;DB00261;DB00714;DB01238;DB01169;DB06697;DB06216;DB01072;DB00289;DB00207;DB08903;DB00188;DB06616;DB06719;DB08907;DB09063;DB00608;DB00477;DB00672;DB00537;DB00604;DB00215;DB01211;DB01242;DB00363;DB08865;DB08912;DB01254;DB06699;DB01189;DB01151;DB01075;DB00280;DB00204;DB00757;DB01184;DB01142;DB04855;DB00450;DB09039;DB08871;DB00199;DB01175;DB04953;DB00927;DB00949;DB08868;DB01195;DB00196;DB00472;DB00875;DB00588;DB00983;DB00529;DB01320;DB00743;DB00674;DB01155;DB01120;DB00222;DB01251;DB01016;DB00889;DB00502;DB06788;DB00557;DB00710;DB00308;DB04946;DB00458;DB05039;DB00808;DB01306;DB01307;DB00047;DB01309;DB00046;DB00753;DB00270;DB01167;DB09083;DB01026;DB01259;DB00007;DB01137;DB08882;DB01356;DB00934;DB00358;DB00331;DB00333;DB01403;DB01233;DB00916;DB00834;DB08893;DB00370;DB00691;DB00218;DB00220;DB00622;DB04868;DB01059;DB00540;DB00104;DB01165;DB00334;DB09080;DB00904;DB00107;DB01267;DB06603;DB00715;DB06663;DB06589;DB01100;DB01263;DB01087;DB01035;DB00420;DB01069;DB01182;DB00818;DB00344;DB01224;DB00908;DB00468;DB00243;DB00912;DB08864;DB00734;DB00503;DB01001;DB00938;DB01232;DB06335;DB01104;DB01236;DB01591;DB00398;DB00489;DB01015;DB00263;DB01268;DB00864;DB00675;DB06402;DB00976;DB00871;DB04844;DB00679;DB01623;DB00697;DB01124;DB01036;DB00539;DB00656;DB00374;DB00440;DB00726;DB06825;DB05294;DB00862;DB08881;DB00285;DB04876;DB00582;DB02546;DB00246;DB01624
DB00015,Reteplase,approved,DB00054;DB01418;DB00945;DB00233;DB00261;DB06605;DB06692;DB00278;DB00006;DB00201;DB06441;DB01166;DB00215;DB00758;DB06695;DB06779;DB06700;DB00586;DB00266;DB00861;DB01551;DB00975;DB00476;DB01225;DB01240;DB00063;DB01175;DB00749;DB00573;DB08976;DB00472;DB00712;DB00176;DB01109;DB01050;DB01088;DB00328;DB01009;DB00465;DB00784;DB00814;DB04896;DB00461;DB08813;DB00788;DB00991;DB00715;DB00498;DB00946;DB00554;DB06209;DB06228;DB01399;DB01104;DB00605;DB06271;DB01600;DB08816;DB00208;DB06822;DB00775;DB00500;DB00374;DB00285;DB06684;DB09030;DB09068;DB00682
DB00017,Salmon Calcitonin,approved,DB01356;DB00399
DB00019,Pegfilgrastim,approved,DB09208
DB00020,Sargramostim,approved,DB00290;DB00531
DB00021,Secretin,approved,DB00321;DB00543;DB00572;DB00972;DB00245;DB00835;DB00748;DB00341;DB01114;DB00477;DB00283;DB01242;DB00363;DB01176;DB00924;DB00979;DB00434;DB00496;DB01151;DB00967;DB00804;DB01075;DB00280;DB01142;DB00366;DB00450;DB06702;DB00950;DB01148;DB00875;DB00623;DB00986;DB00502;DB00557;DB00424;DB00458;DB00332;DB01247;DB01106;DB06282;DB00455;DB00408;DB00934;DB00737;DB04843;DB01403;DB01171;DB00540;DB00334;DB00768;DB01062;DB00850;DB00780;DB01100;DB00433;DB00387;DB00420;DB01069;DB00782;DB00344;DB01224;DB00734;DB00747;DB01591;DB00679;DB01623;DB01036;DB00752;DB00831;DB00376;DB00662;DB00726;DB00427;DB00209;DB01624
DB00022,Peginterferon alfa-2b,approved,DB01418;DB00041;DB00969;DB01223;DB00321;DB00543;DB01238;DB06216;DB00289;DB00195;DB00188;DB01558;DB00201;DB01197;DB01136;DB00608;DB01114;DB00477;DB01242;DB00363;DB00924;DB00851;DB01151;DB00514;DB01142;DB00997;DB00476;DB09039;DB01195;DB00472;DB00623;DB00499;DB00176;DB00317;DB00502;DB04946;DB00458;DB00281;DB00934;DB00333;DB01577;DB00264;DB00379;DB00370;DB01149;DB00540;DB00334;DB00715;DB09208;DB00850;DB01100;DB01621;DB08910;DB01087;DB01035;DB00420;DB01069;DB00571;DB00344;DB00980;DB01367;DB00811;DB00734;DB00268;DB00296;DB09118;DB00675;DB01265;DB04844;DB00277;DB00679;DB01623;DB00373;DB00697;DB01036;DB00831;DB00726;DB00285;DB09068;DB00495;DB01624
DB00023,Asparaginase,approved,DB01234
DB00024,Thyrotropin Alfa,approved,
