DB_id,Drug_name,Approved,DB_interactions
DB00001,Lepirudin,approved,DB01323;DB00346;DB13783;DB06605;DB06695;DB06228;DB00227;DB00013;DB09030;DB00683;DB00641;DB00932;DB00248;DB01200;DB00320;DB00696;DB01253;DB00353;DB00897;DB00977;DB00783;DB00255;DB00091;DB00864;DB00454;DB00404;DB08873;DB00564;DB01211;DB00705;DB00286;DB00655;DB00890;DB09369;DB04573;DB06401;DB04865;DB01149;DB06692;DB01431;DB00294;DB00603;DB00396;DB00717;DB06789;DB00304;DB00378;DB06730;DB11619;DB09124;DB11636;DB13857;DB00351;DB00367;DB09123;DB01395;DB12474;DB08931;DB00203;DB06287;DB00343;DB00661;DB00686;DB00321;DB00344;DB00458;DB00540;DB00726;DB01142;DB01151;DB01242;DB09016;DB08996;DB09167;DB09289;DB00543;DB01048;DB00531;DB00390;DB00109;DB06414;DB01254;DB01609;DB00078;DB09053;DB09079;DB08935;DB00048;DB06206;DB09070;DB00465;DB00586;DB00712;DB00963;DB06802;DB00005;DB00179;DB00210;DB00244;DB00328;DB00337;DB00461;DB00469;DB00482;DB00500;DB00533;DB00554;DB00573;DB00580;DB00605;DB00608;DB00735;DB00749;DB00768;DB00784;DB00788;DB00795;DB00812;DB00814;DB00861;DB00870;DB00936;DB00939;DB00945;DB00972;DB00991;DB01009;DB01014;DB01024;DB01050;DB01097;DB01250;DB01283;DB01399;DB01435;DB01600;DB01628;DB03585;DB04552;DB04743;DB04817;DB04951;DB05676;DB06196;DB06725;DB06736;DB06739;DB08439;DB08797;DB08880;DB08976;DB08981;DB08984;DB09216;DB09288;DB13167;DB13346;DB09084;DB00081;DB00006;DB00054;DB00102;DB00266;DB00278;DB00498;DB00569;DB00682;DB00946;DB01109;DB01225;DB01418;DB04272;DB04898;DB05099;DB06154;DB06271;DB06754;DB06779;DB08813;DB09255;DB09259;DB11095;DB11312;DB11598;DB13136;DB09125;DB09154;DB00233;DB00009;DB00015;DB00029;DB00031;DB00055;DB00208;DB00775;DB01166;DB04932;DB06822;DB00086;DB00261;DB00412;DB00063;DB00374;DB00758;DB00975;DB01088;DB01240;DB06209;DB06441;DB08814;DB08816;DB08994;DB09258;DB09260;DB11362;DB00235;DB00751;DB00770;DB00806;DB01236;DB05266;DB08954;DB09283;DB00277;DB00651;DB01223;DB00313;DB00495
DB00002,Cetuximab,approved,DB08879;DB00072;DB09103;DB10805;DB10583;DB10276;DB10283;DB10317;DB01229;DB01248;DB06772;DB00390;DB00511;DB01078;DB01092;DB01396;DB00076;DB00112;DB00531
DB00003,Dornase alfa,approved,
DB00004,Denileukin diftitox,approved,DB00072;DB09103;DB01229;DB01248;DB06772;DB00390;DB00511;DB01078;DB01092;DB01396;DB00076;DB00112;DB00531
DB00005,Etanercept,approved,DB00051;DB06674;DB00073;DB00712;DB00963;DB06802;DB00533;DB00580;DB01283;DB01628;DB08439;DB00461;DB00482;DB00749;DB00605;DB00784;DB00812;DB00991;DB00244;DB00316;DB00328;DB00469;DB00500;DB00573;DB00788;DB00814;DB00861;DB00870;DB00939;DB01009;DB01014;DB01050;DB01399;DB00936;DB01600;DB04743;DB00554;DB06725;DB00795;DB04552;DB01435;DB00233;DB06774;DB00856;DB00720;DB00515;DB00620;DB08910;DB09213;DB06736;DB13346;DB00179;DB00210;DB00608;DB00735;DB00768;DB00972;DB01024;DB01250;DB03585;DB04817;DB04951;DB05676;DB06196;DB06739;DB08797;DB08880;DB08981;DB08984;DB09216;DB09288;DB13167;DB09084;DB08976;DB13783;DB01281;DB00026;DB08879;DB06168;DB08904;DB00531;DB00065;DB00108;DB00337;DB06372;DB06273;DB08895;DB09033;DB00864;DB09214;DB00465;DB09285;DB04865;DB13615;DB10805;DB10583;DB10276;DB10283;DB10317;DB00214;DB00695;DB00887;DB00903;DB02925;DB01325;DB00232;DB00310;DB00774;DB01021;DB01356;DB00563;DB00300;DB09449;DB01097;DB08868;DB01656;DB00091;DB00586;DB10283;DB00375;DB00930;DB01432;DB00479;DB00684;DB00798;DB00994;DB01082;DB00452;DB00955;DB01172;DB01421;DB03615;DB06696;DB00255;DB00286;DB00783;DB00890;DB00977;DB09369;DB04573;DB09070;DB06401;DB09026;DB00476;DB01149;DB06700;DB04896;DB00285;DB00176;DB00215;DB00472;DB00715;DB01104;DB01175;DB01609;DB00035;DB00365;DB00467;DB00487;DB00685;DB00779;DB00817;DB00827;DB01044;DB01059;DB01137;DB01155;DB01208;DB04576;DB00218;DB00537;DB00978;DB01165;DB00390;DB01395;DB00700;DB00502;DB01275;DB06813;DB01032;DB00374;DB00512;DB00880;DB00999;DB00436;DB00524;DB00808;DB01324;DB00562;DB06643;DB06688;DB00072;DB00884;DB01077;DB00282;DB00399;DB00710;DB00630;DB09138;DB01133;DB00429;DB00917;DB00929;DB08964;DB00158;DB00287;DB00654;DB00770;DB00905;DB01046;DB01088;DB01240;DB06826;DB08819;DB00006;DB00054;DB00102;DB00266;DB00278;DB00498;DB00569;DB00682;DB00686;DB00946;DB01109;DB01225;DB01418;DB04272;DB04898;DB05099;DB06154;DB06228;DB06271;DB06605;DB06695;DB06754;DB06779;DB08813;DB09255;DB09259;DB11095;DB11312;DB11598;DB13136;DB09125;DB09154;DB00001;DB00324;DB00394;DB00443;DB00741;DB00860;DB01047;DB01222;DB01234;DB01410;DB09091;DB00591;DB00223;DB00240;DB00288;DB00547;DB00838;DB00846;DB00896;DB00959;DB01130;DB01380;DB00180;DB00764;DB00873;DB08906;DB06781;DB08971;DB00253;DB00635;DB00655;DB00663;DB00687;DB01384;DB01708;DB08905;DB08970;DB09095;DB11750;DB13158;DB00596;DB01260;DB06786;DB11921;DB13867;DB00177;DB00275;DB00678;DB00876;DB00966;DB01029;DB01349;DB08822;DB09292;DB09279;DB00178;DB00492;DB00519;DB00542;DB00584;DB00691;DB00722;DB00790;DB00881;DB01197;DB01340;DB01348;DB01180;DB00384;DB00594;DB00421;DB00187;DB00195;DB00264;DB00335;DB00373;DB00521;DB00571;DB00598;DB00612;DB00960;DB01136;DB01193;DB01203;DB01210;DB01214;DB00489;DB04861;DB00866;DB01295;DB01297;DB01359;DB01580;DB04846;DB08807;DB08808;DB01118;DB06216;DB00871;DB01182;DB01151;DB11639;DB11642
DB00006,Bivalirudin,approved,DB01323;DB00346;DB13783;DB06605;DB06695;DB06228;DB00227;DB00013;DB09030;DB00683;DB00641;DB00932;DB00248;DB01200;DB00320;DB00696;DB01253;DB00353;DB00897;DB00977;DB00783;DB00255;DB00091;DB00864;DB00454;DB00404;DB08873;DB00564;DB01211;DB00705;DB00286;DB00655;DB00890;DB09369;DB04573;DB06401;DB04865;DB01149;DB06692;DB01431;DB00294;DB00603;DB00396;DB00717;DB06789;DB00304;DB00378;DB06730;DB11619;DB09124;DB11636;DB13857;DB00351;DB00367;DB09123;DB01395;DB12474;DB08931;DB00203;DB06287;DB00343;DB00661;DB00686;DB00321;DB00344;DB00458;DB00540;DB00726;DB01142;DB01151;DB01242;DB09016;DB08996;DB09167;DB09289;DB00543;DB01048;DB00531;DB00390;DB00109;DB06414;DB01254;DB01609;DB00078;DB09053;DB09079;DB08935;DB00048;DB06206;DB09070;DB00465;DB00586;DB00712;DB00963;DB06802;DB00005;DB00179;DB00210;DB00244;DB00328;DB00337;DB00461;DB00469;DB00482;DB00500;DB00533;DB00554;DB00573;DB00580;DB00605;DB00608;DB00735;DB00749;DB00768;DB00784;DB00788;DB00795;DB00812;DB00814;DB00861;DB00870;DB00936;DB00939;DB00945;DB00972;DB00991;DB01009;DB01014;DB01024;DB01050;DB01097;DB01250;DB01283;DB01399;DB01435;DB01600;DB01628;DB03585;DB04552;DB04743;DB04817;DB04951;DB05676;DB06196;DB06725;DB06736;DB06739;DB08439;DB08797;DB08880;DB08976;DB08981;DB08984;DB09216;DB09288;DB13167;DB13346;DB09084;DB00081;DB00054;DB00102;DB00266;DB00278;DB00498;DB00569;DB00682;DB00946;DB01109;DB01225;DB01418;DB04272;DB04898;DB05099;DB06154;DB06271;DB06754;DB06779;DB08813;DB09255;DB09259;DB11095;DB11312;DB11598;DB13136;DB09125;DB09154;DB00001;DB00233;DB00009;DB00015;DB00029;DB00031;DB00055;DB00208;DB00775;DB01166;DB04932;DB06822;DB00086;DB00261;DB00412;DB00063;DB00374;DB00758;DB00975;DB01088;DB01240;DB06209;DB06441;DB08814;DB08816;DB08994;DB09258;DB09260;DB11362;DB00235;DB00751;DB00770;DB00806;DB01236;DB05266;DB08954;DB09283;DB00277;DB00651;DB01223;DB00313;DB00495
DB00007,Leuprolide,approved,DB00204;DB00215;DB00246;DB00261;DB00280;DB00308;DB00468;DB00472;DB00489;DB00539;DB00604;DB00679;DB00834;DB00875;DB00908;DB01035;DB01100;DB01118;DB01169;DB01175;DB01184;DB01224;DB01267;DB01601;DB01624;DB04844;DB04855;DB04868;DB04946;DB05294;DB06216;DB06697;DB06708;DB08881;DB09039;DB00089;DB00072;DB00014;DB00199;DB00207;DB00218;DB00263;DB00333;DB00363;DB00420;DB00450;DB00477;DB00502;DB00537;DB00608;DB00738;DB00743;DB00757;DB00889;DB00904;DB00976;DB01087;DB01137;DB01155;DB01165;DB01182;DB01195;DB01211;DB01232;DB06402;DB06589;DB06603;DB08865;DB08903;DB09063;DB09078;DB09103;DB09083;DB01229;DB01248;DB06772;DB00390;DB00511;DB01078;DB01092;DB01396;DB00076;DB00112;DB00531;DB00104;DB00107;DB00188;DB00196;DB00220;DB00243;DB00270;DB00285;DB00289;DB00321;DB00334;DB00344;DB00346;DB00358;DB00370;DB00374;DB00398;DB00440;DB00458;DB00503;DB00529;DB00540;DB00543;DB00557;DB00582;DB00622;DB00656;DB00674;DB00675;DB00691;DB00697;DB00710;DB00714;DB00715;DB00726;DB00734;DB00753;DB00808;DB00818;DB00862;DB00871;DB00915;DB00916;DB00927;DB00934;DB00938;DB00949;DB00983;DB01001;DB01015;DB01026;DB01036;DB01059;DB01069;DB01072;DB01075;DB01104;DB01142;DB01151;DB01167;DB01189;DB01233;DB01236;DB01238;DB01242;DB01254;DB01259;DB01263;DB01268;DB01356;DB01403;DB01591;DB01623;DB02546;DB04953;DB05039;DB06663;DB06699;DB06719;DB06788;DB06825;DB08864;DB08868;DB08871;DB08893;DB08912;DB09080;DB09082;DB00030;DB00046;DB00047;DB00071;DB00222;DB00284;DB00331;DB00412;DB00414;DB00419;DB00491;DB00672;DB00731;DB00839;DB00912;DB00914;DB01016;DB01067;DB01120;DB01124;DB01132;DB01251;DB01252;DB01261;DB01276;DB01278;DB01306;DB01307;DB01309;DB04876;DB04878;DB06203;DB06271;DB06335;DB06655;DB08882;DB08907;DB09038;DB09045
DB00008,Peginterferon alfa-2a,approved,DB04817;DB13200;DB00363;DB01265;DB00041;DB00697;DB09208;DB00277;DB00651;DB01223;DB00333;DB00811;DB00495
DB00009,Alteplase,approved,DB06692;DB06695;DB00727;DB00006;DB00054;DB00102;DB00266;DB00278;DB00498;DB00569;DB00682;DB00686;DB00946;DB01109;DB01225;DB01418;DB04272;DB04898;DB05099;DB06154;DB06228;DB06271;DB06605;DB06754;DB06779;DB08813;DB09255;DB09259;DB11095;DB11312;DB11598;DB13136;DB09125;DB09154;DB00001;DB00936;DB00945;DB00233;DB00244;DB00861;DB01014;DB01250;DB00063;DB00208;DB00775;DB00975;DB00758;DB06209;DB09030;DB00235;DB00261;DB00751;DB00770;DB00806;DB00972;DB01088;DB01166;DB01236;DB01240;DB04743;DB04932;DB05266;DB06441;DB08814;DB08954;DB09283;DB08816;DB00374
DB00010,Sermorelin,approved,
